DEBUG | 17:27:20 76351 [DeviceTelemetry] enqueue for send (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864440 hopStart=1 relay=0x
DEBUG | 17:27:20 76351 [DeviceTelemetry] txGood=2749,txRelay=1336,rxGood=2695,rxBad=21
DEBUG | 17:27:20 76351 [DeviceTelemetry] Use channel 0 (hash 0xec)
DEBUG | 17:27:20 76351 [DeviceTelemetry] Use AES256 key!
DEBUG | 17:27:20 76351 [DeviceTelemetry] decoded message (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864440 hopStart=1 relay=0xc4 prior
INFO  | 17:27:20 76351 Tell client we have new packets 4334
DEBUG | 17:27:20 76351 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:27:20 76351 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:27:20 76351 [Serial] phone downloaded packet (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864440 hopStart=1 relay=0x
DEBUG | 17:27:20 76351 [RadioIf] Started Tx (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864440 hopStart=1 relay=0xc4 pri
DEBUG | 17:27:20 76351 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:27:20 76351 [RadioIf] Packet TX: 321ms
DEBUG | 17:27:20 76351 [RadioIf] Completed sending (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864440 hopStart=1 relay=0
DEBUG | 17:27:21 76353 [RadioIf] Corrected frequency offset: -1218.445312
DEBUG | 17:27:21 76353 [RadioIf] Lora RX (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 hopStart=1 relay=0x30)
DEBUG | 17:27:22 76353 [RadioIf] Packet RX: 321ms
DEBUG | 17:27:22 76353 [Router] Rx someone rebroadcasting for us (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 
DEBUG | 17:27:22 76353 [Router] Didn't find pending packet
INFO  | 17:27:22 76353 [Router] Packet History - insert: Reusing slot aged 1.816s TRACE MATCHED PACKET
DEBUG | 17:27:22 76353 [Router] Ignore dupe incoming msg (id=0x86bb192a fr=0xbb8106c4 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxSNR=8.5 rxRSSI=-32 hopStart
DEBUG | 17:27:22 76353 [Router] cancelSending id=0x86bb192a, removed=0
DEBUG | 17:27:22 76353 [Router] Incoming msg was filtered from 0xbb8106c4
DEBUG | 17:28:13 76404 [RadioIf] Corrected frequency offset: -1214.250977
DEBUG | 17:28:13 76404 [RadioIf] Lora RX (id=0x05531d96 fr=0x6c743130 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxSNR=8.25 rxRSSI=-32 hopStart=1 relay=0x30)
DEBUG | 17:28:13 76404 [RadioIf] Packet RX: 321ms
INFO  | 17:28:13 76404 [Router] Packet History - insert: Reusing slot aged 4504.934s TRACE OLDEST SLOT
DEBUG | 17:28:13 76404 [Router] Use channel 0 (hash 0xec)
DEBUG | 17:28:13 76404 [Router] Use AES256 key!
DEBUG | 17:28:13 76404 [Router] decoded message (id=0x05531d96 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864493 rxSNR=8.25 rxRSSI=-32 hopSt
DEBUG | 17:28:13 76404 [Router] handleReceived(REMOTE) (id=0x05531d96 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864493 rxSNR=8.25 rxRSSI=-3
DEBUG | 17:28:13 76404 [Router] Module 'DeviceTelemetry' wantsPacket=1
INFO  | 17:28:13 76404 [Router] Received DeviceTelemetry from=0x6c743130, id=0x5531d96, portnum=67, payloadlen=28
INFO  | 17:28:13 76404 [Router] (Received from 3130): air_util_tx=1.265639, channel_utilization=0.535000, battery_level=101, voltage=-0.001000
DEBUG | 17:28:13 76404 [Router] updateTelemetry REMOTE node=0x6c743130 
DEBUG | 17:28:13 76404 [Router] Node status update: 2 online, 3 total
DEBUG | 17:28:13 76404 [Router] Module 'DeviceTelemetry' considered
DEBUG | 17:28:13 76404 [Router] Module 'routing' wantsPacket=1
DEBUG | 17:28:13 76404 [Router] Routing sniffing (id=0x05531d96 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864493 rxSNR=8.25 rxRSSI=-32 hopS
INFO  | 17:28:13 76404 [Router] Rebroadcast received message coming from 30
INFO  | 17:28:13 76404 [Router] Packet History - insert: Reusing slot aged 0.148s TRACE MATCHED PACKET
DEBUG | 17:28:13 76404 [Router] Use AES256 key!
DEBUG | 17:28:13 76404 [Router] enqueue for send (id=0x05531d96 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864493 rxSNR=8.25 rxRSSI=-
DEBUG | 17:28:13 76404 [Router] txGood=2750,txRelay=1336,rxGood=2697,rxBad=21
DEBUG | 17:28:13 76404 [Router] rx_snr found. hop_limit:0 rx_snr:8.250000
DEBUG | 17:28:13 76404 [Router] rx_snr found in packet. Setting tx delay:1717
